correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
Galateo;;;;;"(Letterina G) la famosa opera di Monsignor Della Casa";;;
Gotta;;;;;"(Letterina G) la malattia detta anche podagra";;;
Gala;;;;;"(letterina G) la modella preferita da Salvador Dali'";;;
Godot;;;;;"(Letterina G) lo aspettava Samuel Beckett";;;
Goethe;;;;;"(Letterina G) lo scrittore tedesco che ha descritto nelle sue opere piu' di 2.000 paesaggi, dei quali circa la meta' italiani";;;
Gioia;;;;;"(letterina G) Melchiorre, noto economista dell'800 considerato il fondatore della statistica in Italia";;;
garrotta;;;;;"(letterina G) strumento di tortura costituito da un collare di ferro stretto fino allo strangolamento";;;
Hammet;;;;;"(Letterina H) il Dashiell autore de Il falcone maltese";;;
Mesopotamia;;;;;"(Letterina H) il Dashiell autore de Il falcone maltese";;;
Heathcliff;;;;;"(letterina H) il protagonista di Cime tempestose";;;
Harlem;;;;;"(Letterina H) il quartiere nero di New York";;;
Hill;;;;;"(letterina H) il Terence che Continuavano a chiamarlo Trinita'";;;
Herrera;;;;;"(Letterina H) l'allenatore dell'inter Campione d'Europa nel 1964 e 1965";;;
Harvard;;;;;"(letterina H) l'universita' di Love Story";;;
Hashish;;;;;"(Letterina H) la sostanza che permetteva a Baudelaire di raggiungere i paradisi artificiali";;;
Hertziane;;;;;"(Letterina H) le onde di cui si servi' Alessandro Marconi per il telegrafo senza fili";;;
Ipofisi;;;;;"(letterina I) altro nome della ghiandola pituitaria";;;
idromele;;;;;"(letterina I) Bevanda a base di acqua e miele";;;
Istanbul;;;;;"(letterina I) era una delle citta' collegate dall'Orient Express";;;
Islanda;;;;;"(Letterina I) fu il primo paese a legalizzare l'aborto nel 1935";;;
Insetti;;;;;"(Letterina I) Gli animali piu' antichi";;;
Incompreso;;;;;"(letterina I) il film di Comencini che racconta la predilezione di un padre per il figlio cadetto";;;
Ippolito;;;;;"(Letterina I) il Nievo di Confessioni di un ottuagenario";;;
Ippocrate;;;;;"(Letterina I) l'antico greco ritenuto il padre della medicina";;;
Ikebana;;;;;"(Letterina I) l'arte floreale giapponese";;;
Insalata;;;;;"(Letterina I) l'aveva Marameo nell'orto";;;
Internazionale;;;;;"(Letterina I) l'Intrigo per il quale Cary Grant viene mitragliato da un aeroplano";;;
Indiana;;;;;"(Letterina I) la bandiera che sventola su Mysore e Madras";;;
Inglese;;;;;"(Letterina I) la bandiera che sventola su un promontorio tra Cadice e Malaga";;;
Irish;;;;;"(Letterina I) la I della sigla I.R.A.";;;
Iride;;;;;"(Letterina I) la membrana che controlla la quantita' di luce che entra nell'occhio";;;
Inglese;;;;;"(Letterina I) la seconda lingua piu' parlata al mondo";;;
Israele;;;;;"(letterina I) lo stato col deserto del Negev";;;
Indiana;;;;;"(Letterina I) lo stato in cui si corrono le 500 miglia di Indianapolis";;;
Israele;;;;;"(Letterina I) lo stato in cui si trova il porto di Haifa";;;
Ibisco;;;;;"(Letterina I) vi si ricava il carcade'";;;
Jets;;;;;"(Letterina J) con gli Sharks e' una delle bande rivali di West Side Story";;;
Juliette;;;;;"(Letterina J) la sorella di Justine de Sade";;;
Jeep;;;;;"(Letterina J) la vettura che ha reso celebre la ditta Willis";;;
jack;;;;;"(Letterina J) Nelle carte da gioco francesi, nome del fante";;;
Kafka;;;;;"(Letterina K) Autore del racconto 'Nella colonia penale'";;;
Karamazov;;;;;"(Letterina K) il cognome dei fratelli Dimitri, Ivan, Alyosha e Smerdyakov";;;
"King Kong";;;;;"(Letterina K) il gigantesco personaggio cinematografico realizzato con 2.000 kg di peli di coda di cavallo";;;
Kant;;;;;"(letterina K) l'Immanuel che ha scritto La critica della ragion pura";;;
Kessler;;;;;"(letterina K) le gemelle del Dadaumpa";;;
"Lake Placid";;;;;"(Letterina L) citta' degli Usa che ha ospitato per due volte le olimpiadi invernali";;;
luppolo;;;;;"(letterina L) conferisce alla birra l'inconfondibile gusto amarognolo";;;
Leone;;;;;"(letterina L) e' l'unico felino a condurre una vita sociale";;;
Lassie;;;;;"(Letterina L) il cane piu' celebre di Hollywood";;;
Laughton;;;;;"(Letterina L) il Charles protagonista del film Le sei mogli di Enrico VIII";;;
Locarno;;;;;"(Letterina L) il festival del cinema che premia con il Leopardo d'oro";;;
Lemond;;;;;"(Letterina L) il Greg che e' stato il primo americano a vincere un campionato di ciclismo su strada";;;
Lewis;;;;;"(letterina L) il Jerry 'ragazzo tuttofare' idolo delle donne";;;
Lorenz;;;;;"(Letterina L) il Konrad che e' stato una seconda mamma per le anatre";;;
Lemano;;;;;"(Letterina L) il lago sul quale si trova Ginevra";;;
C.C.C.P.;;;;;"(Letterina L) il poeta latino che conosceva La natura delle cose";;;
Longobardi;;;;;"(Letterina L) il popolo del quale fu regina Rosamunda";;;
Lothar;;;;;"(Letterina L) l'aiutante di Mandrake";;;
Lucifero;;;;;"(Letterina L) l'angelo che precipito' dal cielo";;;
Lombard;;;;;"(Letterina L) la Carole che con Clark Gable formava la coppia ideale di Hollywood";;;
Londra;;;;;"(Letterina L) la citta' del Covent Garden";;;
"Las Vegas";;;;;"(Letterina L) la citta' dove si disputano ogni anno i campionati mondiali di poker";;;
Londra;;;;;"(Letterina L) la citta' servita dall'aeroporto di Gatwick";;;
Lancia;;;;;"(Letterina L) la fabbrica dell'Aurelia";;;
Lockheed;;;;;"(Letterina L) la fabbrica di aeroplani americana che ha coinvolto in uno scandalo l'allora premier giapponese Tanaka";;;
Lollobrigida;;;;;"(letterina L) la Gina che e' la piu' famosa figlia di Subiaco";;;
Lammermoor;;;;;"(Letterina L) la Lucia di Donizetti";;;
Lotus;;;;;"(letterina L) la macchina con la quale Jim Clark ha vinto le 500 miglia di Indianapolis";;;
Lussuria;;;;;"(letterina L) la simboleggia la lonza, una delle tre belve che sbarrano il passo a Dante";;;
Liala;;;;;"(letterina L) lo pseudonimo con il quale e' meglio conosciuta la scrittrice Liliana Negretti Cambiasi";;;
Liverpool;;;;;"(Letterina L) vi si trova Penny Lane";;;
"Marco Antonio";;;;;"(Letterina M) contese a Cesare l'amore di Cleopatra";;;
Magellano;;;;;"(Letterina M) dette il nome all'Oceano Pacifico";;;
Marx;;;;;"(Letterina M) disse 'La religione e' l'oppio dei popoli' (brrr)";;;
Mendel;;;;;"(Letterina M) e' considerato il padre della genetica";;;
Mediterraneo;;;;;"(letterina M) e' il 'mare nostrum'";;;
Mulo;;;;;"(Letterina M) e' il risultato dell'incrocio tra un asino e una cavalla";;;
Magnani;;;;;"(Letterina M) era madre di una figlia 'Bellissima'";;;
Minosse;;;;;"(Letterina M) Figlio di Zeus e padre di Arianna, re di Creta";;;
Mussolini;;;;;"(Letterina M) fu liberato da un commando tedesco a Campo Imperatore";;;
Malagodi;;;;;"(Letterina M) ha guidato il Partito Liberale dal 1954 al 1972";;;
Mazzola;;;;;"(Letterina M) il 'baffo' del calcio italiano";;;
Meraviglioso;;;;;"(Letterina M) il 'mandarino' di Bela Bartok";;;
Mangiafuoco;;;;;"(letterina M) il burattinaio di Pinocchio";;;
"Moby Dick";;;;;"(Letterina M) il caposaldo della letteratura americana che comincia con le parole 'Mi chiamo Ishmael'";;;
Mendeleev;;;;;"(Letterina M) il chimico russo che classifico' gli elementi secondo il loro peso atomico";;;
"Magna Charta";;;;;"(Letterina M) il documento imposto a Giovanni Senza Terra dai feudatari inglesi";;;
MacArthur;;;;;"(letterina M) il Douglas che comandava le truppe delle Nazioni Unite all'inizio della guerra di corea";;;
muleta;;;;;"(letterina M) Il drappo rosso dei toreri";;;
Marinetti;;;;;"(Letterina M) il Filippo Tommaso principale figura letteraria del movimento futurista";;;
Missing;;;;;"(Letterina M) il film di Costa Gavras che ha come interpreti Jack Lemmon e Sissy Spacek";;;
metropolis;;;;;"(letterina M) il film in cui compaiono 25.000 uomini, 11.000 donne e 1.100 calvi";;;
Menelao;;;;;"(Letterina M) il fratello di Agamennone";;;
Mozart;;;;;"(Letterina M) il genio della musica che e' finito in una fossa comune";;;
Murat;;;;;"(Letterina M) il Gioacchino fucilato a Pizzo Calabro";;;
Morandi;;;;;"(Letterina M) il Giorgio pittore italiano famoso per le sue bottiglie";;;
Miller;;;;;"(Letterina M) il Glenn che ha composto Moonlight Serenade";;;
Maggiore;;;;;"(letterina M) il lago con le isole Borromee";;;
Monet;;;;;"(Letterina M) il leader del movimento impressionista nella pittura a Parigi";;;
Mediterraneo;;;;;"(Letterina M) il mare che bagna Barcellona";;;
Menelao;;;;;"(Letterina M) il marito della bella Elena";;;
Mercurio;;;;;"(Letterina M) il metallo piu' pesante";;;
Milva;;;;;"(Letterina M) il nome d'arte di Maria Ilva Biolcati";;;
Mailand;;;;;"(Letterina M) il nome tedesco di Milano";;;
Marocco;;;;;"(Letterina M) il paese africano in cui la stessa famiglia regna dal 1640";;;
Messico;;;;;"(Letterina M) il paese dal quale si innalza il Popocatepetl";;;
Monaco;;;;;"(letterina M) il paese sul mare che ha il piu' piccolo litorale al mondo";;;
Marlowe;;;;;"(Letterina M) il Philip interpretato da Humphrey Bogart ne Il grande sonno";;;
Melanina;;;;;"(letterina M) il pigmento cutaneo responsabile dell'abbronzatura";;;
Magritte;;;;;"(Letterina M) il pittore che con una sua opera ha ispirato il titolo del film Le fate ignoranti";;;
Manhattan;;;;;"(Letterina M) il quartiere centrale di New York";;;
Municipio;;;;;"(Letterina M) in tedesco viene chiamato Rathaus";;;
Musica;;;;;"(Letterina M) l'arte nella quale si hanno 'accidenti' e 'acciaccature'";;;
Moses;;;;;"(Letterina M) L'Edwin che vince 90 gare consecutive tra il 1977 e il 1984";;;
Miller;;;;;"(letterina M) L'Henry autore di Sexus, Plexus e Nexus";;;
Monrovia;;;;;"(Letterina M) la capitale africana che deve il suo nome a un presidente Usa";;;
Madrid;;;;;"(Letterina M) la capitale della Puerta del Sol";;;
Marmore;;;;;"(Letterina M) la cascata formata dal Velino";;;
"My Fair Lady";;;;;"(Letterina M) la commedia musicale di George Cukor che ha come interpreti Audrey Hepburn e Rex Harrison";;;
Maratona;;;;;"(Letterina M) la corsa che si effettua su 42km e 195 m.";;;
Masina;;;;;"(Letterina M) la Giulietta degli spiriti";;;
Malaria;;;;;"(letterina M) la malattia di cui e' portatrice la zanzara anofele";;;
Memoria;;;;;"(Letterina M) la qualita' che dette fama mondiale a Pico della Mirandola";;;
Milan;;;;;"(letterina M) la squadra del trio Gre-No-Li";;;
Milan;;;;;"(Letterina M) la squadra di calcio in cui giocavano il Pompiere, il Professore e il Barone";;;
Mose';;;;;"(Letterina M) la statua di Michelangelo che si trova in S. Pietro in Vincoli";;;
"Miss Marple";;;;;"(Letterina M) la vecchia investigatrice famosa quanto Hercule Poirot";;;
Matteo;;;;;"(Letterina M) lo era 'secondo..' il vangelo di Pasolini";;;
mangusta;;;;;"(letterina M) mortale nemico del cobra";;;
Mangusta;;;;;"(Letterina M) piccolo mammifero carnivoro utilizzato per lo sterminio dei rettili";;;
Monopoli;;;;;"(Letterina M) popolare gioco da tavolo dal tabellone composto da 40 caselle";;;
Matusalemme;;;;;"(Letterina M) secondo la Bibbia visse in piena forma fino a 969 anni";;;
Moravia;;;;;"(Letterina M) sposo' Carmen Llera sulla soglia degli 80 anni";;;
Motore;;;;;"(Letterina M) vi si trova l'albero a camme";;;
Mennea;;;;;"(Letterina M) vinse l'oro nei 200 metri piani alle olimpiadi di Mosca";;;
Mennea;;;;;"(Letterina M) vinse l'oro nei 200 mt. piani alle olimpiadi di Mosca";;;
matricidi;;;;;"(letterina M): Gli assassini come Edipo";;;
Nebbia;;;;;"(Letterina N) e' formata da minuscole gocce e pulviscolo atmosferico";;;
Nostradamus;;;;;"(Letterina N) era l'astrologo di Maria de' Medici";;;
Neto;;;;;"(Letterina N) fiume della Calabria";;;
Nemo;;;;;"(Letterina N) il comandante del Nautilus";;;
No;;;;;"(Letterina N) il Dottor nemico di Sean Connery con licenza di uccidere";;;
Nigeria;;;;;"(Letterina N) il paese piu' popoloso dell'Africa";;;
Nasser;;;;;"(letterina N) il presidente egiziano che nazionalizzo' il canale di Suez";;;
Nadir;;;;;"(Letterina N) il punto del cielo sulla verticale dell'osservatore, lungo una retta passante per il centro della terra";;;
Nautilus;;;;;"(Letterina N) il sottomarino atomico che e' passato per primo sotto l'intera la calotta polare artica";;;
"Numero di Avogadro";;;;;"(Letterina N) indica il numero di molecole di qualsiasi sostanza";;;
Nomentana;;;;;"(Letterina N) l'antica via romana che parte da Porta Pia";;;
Napoleone;;;;;"(Letterina N) l'imperatore che ha scritto Dialogo sull'amore";;;
Newton-John;;;;;"(Letterina N) l'Olivia partner di Travolta in Grease";;;
Niemeyer;;;;;"(Letterina N) l'Oscar architetto di Brasilia";;;
Napoleone;;;;;"(Letterina N) l'ultimo periodo del suo regno fu detto 'i cento giorni'";;;
nuziale;;;;;"(Letterina N) la famosa 'marcia' composta da Mendelssohn";;;
Nastassia;;;;;"(Letterina N) la figlia di Klaus Kinski";;;
Naumachie;;;;;"(Letterina N) le battaglie navali organizzate come spettacoli dagli antichi romani";;;
Nietzsche;;;;;"(Letterina N) lo scrittore che elaboro' il concetto di Superuomo";;;
Nanosecondo;;;;;"(Letterina N) miliardesimo di secondo";;;
Napoleon;;;;;"(letterina N) rinomato cognac francese";;;
Napoli;;;;;"(Letterina N) vi si svolge annualmente la Festa dei Gigli";;;
Orsi;;;;;"(Letterina O) Dino Buzzati ne ha descritto l'invasione in Sicilia";;;
Orgoglio;;;;;"(Letterina O) e' con il 'pregiudizio' in un romanzo di Jane Austin";;;
Ob;;;;;"(Letterina O) fiume russo che scorre in Siberia e si getta nel mar di Kara";;;
Ottano;;;;;"(letterina O) idrocarburo che presenta 8 atomi di Carbonio";;;
Owens;;;;;"(Letterina O) il Jesse pantera nera dell'atletica";;;
Ornitorinco;;;;;"(letterina O) il mammifero che ha zampe palmate e unghiute e depone le uova";;;
Orleans;;;;;"(Letterina O) la battaglia nella quale Giovanna D'Arco comando' le truppe francesi";;;
Oslo;;;;;"(Letterina O) la citta' nella quale si puo' ammirare il Kon-Tiki";;;
oligominerali;;;;;"(letterina O) le acque che contengono fino a 1/2 grammo di sali per litro";;;
Oscar;;;;;"(Letterina O) premio che fu assegnato per la prima volta nel 1929";;;
Onore;;;;;"(Letterina O) vi fu ferito Mimi' Metallurgico";;;
Ostia;;;;;"(Letterina O) vi fu ucciso Pier Paolo Pasolini";;;
Pepe';;;;;"(letterina P) 'le Moko' di Julien Duvivier";;;
Parche;;;;;"(Letterina P) a Roma erano le divinita' del destino";;;
Plasmodio;;;;;"(Letterina P) agente della malaria";;;
punch;;;;;"(Letterina P) Bevanda calda a base di rum, zucchero, te', cannella, scorza di limone";;;
Planisfero;;;;;"(letterina P) Carta geografica che rappresenta l'intera superficie terrestre";;;
"Pi greco";;;;;"(Letterina P) corrisponde a 3,14159";;;
Pitone;;;;;"(Letterina P) e' il serpente piu' lungo";;;
Piacere;;;;;"(letterina P) e' ricercato dall'epicureo";;;
Pitagora;;;;;"(Letterina P) e' suo il teorema del quadrato dell'ipotenusa";;;
Pele';;;;;"(Letterina P) era chiamato 'la perla nera'";;;
Pave';;;;;"(Letterina P) fa sobbalzare i ciclisti nella Parigi-Roubaix";;;
Peripatetici;;;;;"(Letterina P) i discepoli di Aristotele";;;
Polders;;;;;"(Letterina P) i terreni 'rubati' al mare dei paesi bassi";;;
Pontecorvo;;;;;"(Letterina P) il Bruno scienziato italiano protagonista nel 1950 di una clamorosa fuga all'est";;;
Pizarro;;;;;"(Letterina P) il conquistatore dell'impero Inca";;;
Pratt;;;;;"(Letterina P) il creatore di Corto Maltese";;;
Pierre;;;;;"(Letterina P) il de Coubertin che contribui' alla rinascita delle Olimpiadi nell'era moderna";;;
presbiopia;;;;;"(letterina P) il difetto della vista di chi non vede bene da vicino";;;
Pandoro;;;;;"(letterina P) il dolce di Verona";;;
Papageno;;;;;"(Letterina P) il fidanzato di Papagena de Il flauto magico";;;
Pele';;;;;"(letterina P) il giocatore che ha disputato con 12 anni di intervallo due finali della Coppa del mondo di calcio";;;
"Pol Pot";;;;;"(Letterina P) il leader dei Khmer rossi";;;
Pescatore;;;;;"(Letterina P) il mestiere dei protagonisti de La terra trema";;;
Pescatori;;;;;"(Letterina P) il mestiere dei protagonisti de La terra trema";;;
Pantheon;;;;;"(letterina P) il monumento di Piazza della Rotonda a Roma";;;
Parigi;;;;;"(letterina P) il nome moderno di Lutetia";;;
"Pipino il Breve";;;;;"(Letterina P) il padre di Carlomagno";;;
Polonia;;;;;"(Letterina P) il paese invaso dai tedeschi il 1 settembre del 1939";;;
Powell;;;;;"(letterina P) il Robert che ha interpretato il Gesu televisivo di Zeffirelli";;;
Polanski;;;;;"(Letterina P) il Roman di Chinatown";;;
Peckinpah;;;;;"(letterina P) il Sam che ha fatto il Mucchio selvaggio";;;
pesce;;;;;"(Letterina P) il simbolo dei primi cristiani";;;
Pozzo;;;;;"(letterina P) il Vittorio commissario tecnico della squadra vincitrice dei campionati del mondo di calcio 1934 e 1938";;;
Pulce;;;;;"(Letterina P) l'animale che al meglio della forma puo' saltare fino a 0,20 mt.";;;
Picasso;;;;;"(Letterina P) l'artista che e' riuscito a vendere le proprie opere esposte al Louvre";;;
"Luigi Pirandello";;;;;"(Letterina P) l'autore di Uno, nessuno, centomila";;;
Prana;;;;;"(Letterina P) l'energia dei guaritori";;;
Processo;;;;;"(Letterina P) l'opera di Kafka dalla quale Orson Welles ha tratto un film";;;
Parassita;;;;;"(Letterina P) l'organismo che vive alle spalle di un altro";;;
Piemontese;;;;;"(letterina P) l'origine che accomuna Coppi, Bettega e Pavese";;;
Parsifal;;;;;"(letterina P) l'ultima opera di Wagner";;;
Pantheon;;;;;"(Letterina P) la chiesa di Roma dove e' sepolto Raffaello";;;
Parigi;;;;;"(Letterina P) la citta' dove possiamo prendere un te' al Caffe' de la Paix";;;
Parma;;;;;"(Letterina P) la citta' italiana che e' circondata da uno 'stradone'";;;
Pahlevi;;;;;"(Letterina P) la dinastia che ha regnato in Iran dal 1921 al 1979";;;
Papagena;;;;;"(Letterina P) la fidanzata di Papageno de Il flauto magico";;;
Parisi;;;;;"(Letterina P) la Heather ballerina scoperta in una discoteca dal coreografo Franco Miseria";;;
Portoghese;;;;;"(Letterina P) la lingua ufficiale dell'isola di Capo Verde";;;
Porsche;;;;;"(Letterina P) la macchina al volante della quale ha trovato la morte James Dean";;;
Palermo;;;;;"(letterina P) La provincia con l'isola di Ustica";;;
Piacenza;;;;;"(letterina P) La provincia dell'Emilia Romagna piu' vicina alla Lombardia";;;
Pece;;;;;"(Letterina P) la resina del calzolaio";;;
Paleontologia;;;;;"(Letterina P) la scienza che studia i fossili";;;
peripatetica;;;;;"(letterina P) la scuola fondata da Aristotele ad Atene";;;
Postalmarket;;;;;"(Letterina P) la societa' che per prima in Italia ha effettuato la vendita per corrispondenza";;;
Porro;;;;;"(Letterina P) la verdura che e' l'emblema del Galles";;;
Penati;;;;;"(Letterina P) le divinita' romane che proteggevano i focolari";;;
prefiche;;;;;"(letterina P) le donne dell'antica grecia pagate per piangere ai funerali";;;
Puniche;;;;;"(Letterina P) le guerre che opposero Roma a Cartagine";;;
Padrino;;;;;"(Letterina P) lo e' Don Vito Corleone";;;
Paleografia;;;;;"(Letterina P) lo studio delle scritture antiche";;;
Peso;;;;;"(Letterina P) moneta argentina";;;
Pico;;;;;"(Letterina P) quello della Mirandola divento' famoso per la memoria prodigiosa";;;
Pandora;;;;;"(Letterina P) satellite di Saturno";;;
Perseidi;;;;;"(Letterina P) sono chiamate 'Lacrime di San Lorenzo'";;;
75;;;;;"(letterina P) Ulisse e i compagni fuggirono dalla grotta di Polifemo attaccati al loro ventre";;;
Pecore;;;;;"(letterina P) Ulisse e i compagni fuggirono dalla grotta di Polifemo attaccati al loro ventre";;;
Pechinese;;;;;"(Letterina P) una delle grandi scuole in cui si divide la cucina cinese";;;
Piemonte;;;;;"(Letterina P) uno dei due piroscafi usati per la spedizione dei mille";;;
Quercia;;;;;"(Letterina Q) il legno delle botti in cui invecchia il vino di Bordeaux";;;
"Queen Elizabeth";;;;;"(Letterina Q) il piu' grande transatlantico mai costruito";;;
Quarto;;;;;"(Letterina Q) la localita' dalla quale salparono i mille";;;
Quant;;;;;"(Letterina Q) la Mary che negli anni '60 ha scoperto le ginocchia alle donne";;;
Quasimodo;;;;;"(Letterina Q) Salvatore poeta ermetico italiano";;;
Ricotta;;;;;"(letterina R) costituisce il ripieno dei cannoli alla siciliana";;;
Reagan;;;;;"(Letterina R) e' stato il 42esimo presidente degli Stati Uniti";;;
"Rin Tin Tin";;;;;"(Letterina R) il cane di Hollywood morto tra le braccia di Jean Harlow nel 1932";;;
Ronzinante;;;;;"(letterina R) il cavallo di Don Chisciotte";;;
Romanov;;;;;"(Letterina R) il cognome di Nicola II ultimo zar di russia";;;
Rivera;;;;;"(Letterina R) il Gianni 'golden boy' del calcio italiano";;;
Riva;;;;;"(Letterina R) il Mario televisivo che mori' nel 1960 cadendo da un'impalcatura dell'Arena di Verona";;;
Roosevelt;;;;;"(Letterina R) il presidente statunitense che diede il via al New Deal";;;
Reticolo;;;;;"(Letterina R) il secondo stomaco dei ruminanti";;;
Riso;;;;;"(Letterina R) l'alimento che e' quello base per il 54% della popolazione terrestre";;;
Revolver;;;;;"(Letterina R) l'arma inventata da Samuel Colt";;;
Rondine;;;;;"(letterina R) l'uccello famoso per la sua particolare cura del nido";;;
"Rio de Janeiro";;;;;"(Letterina R) la capitale del Brasile fino al 1960";;;
Rieti;;;;;"(Letterina R) la citta' dell'alto Lazio che diede a Roma tre imperatori";;;
Ravenna;;;;;"(Letterina R) la citta' settentrionale italiana che e' stata capitale dell'impero d'Occidente";;;
Rimet;;;;;"(Letterina R) la coppa che premiava i campioni del mondo di calcio fino al 1970";;;
Kawasaki;;;;;"(Letterina R) la Debbie partner di Gene Kelly in Cantando sotto la pioggia";;;
Reynolds;;;;;"(Letterina R) la Debbie partner di Gene Kelly in Cantando sotto la pioggia";;;
Ross;;;;;"(letterina R) la Diana che ha debuttato con le Supremes";;;
Republican;;;;;"(Letterina R) la R della sigla I.R.A.";;;
Roulette;;;;;"(Letterina R) la ruota inventata da Pascal nella ricerca del movimento perpetuo";;;
Rindt;;;;;"(Letterina R) lo Jochen diventato campione di F1 dopo la morte";;;
Rolls-Royce;;;;;"(Letterina R) sono le auto di serie piu' costose al mondo";;;
Svastica;;;;;"(letterina S) altro nome della croce uncinata";;;
Sharks;;;;;"(Letterina S) con i Jets e' una delle bande rivali di West Side Story";;;
Sultanina;;;;;"(Letterina S) cosi' e chiamata l'uva passa";;;
Sinottici;;;;;"(Letterina S) cosi' sono stati chiamati i Vangeli di Marco, Luca e Matteo per la loro grande affinita'";;;
Silenzio;;;;;"(Letterina S) e' 'd'oro' quello di Rene' Clair";;;
Stella;;;;;"(Letterina S) e' 'nata' in un film di George Cukor";;;
Scimpanze';;;;;"(Letterina S) e' il piu' intelligente tra gli antropoidi";;;
Siviglia;;;;;"(letterina S) Figaro vi aveva la sua bottega";;;
Senso;;;;;"(Letterina S) film di Visconti in cui Farley Granger e Alida Valli vivono una tragica storia d'amore";;;
Sublicio;;;;;"(Letterina S) fu il primo ponte sul Tevere costruito dai Romani";;;
Savoia;;;;;"(Letterina S) furono proprietari della Sacra Sindone fino al 1983";;;
Serpenti;;;;;"(Letterina S) gli animali che danno il nome alla caratteristica processione di Cocullo";;;
Salomone;;;;;"(Letterina S) gli rese visita la Regina di Saba";;;
Shaw;;;;;"(Letterina S) il Bernard che disse 'La sigaretta e' un rotolino di carta con ad un'estremita' un fuoco e all'altra uno sciocco'";;;
Springsteen;;;;;"(letterina S) il Bruce detto The boss";;;
Suez;;;;;"(Letterina S) il canale che inizia a Porto Said";;;
Sombrero;;;;;"(Letterina S) il caratteristico copricapo messicano";;;
Sandinismo;;;;;"(Letterina S) il movimento rivoluzionario al quale ha dato vita il 'generale dei poveri' Cesare Sandino in Nicaragua";;;
Sublicio;;;;;"(Letterina S) il ponte romano sul quale Orazio Coclite respinse un attacco degli etruschi di Porsenna";;;
Spielberg;;;;;"(Letterina S) Il regista del film A.I.- Intelligenza Artificiale";;;
Spermatozoo;;;;;"(letterina S) il ruolo interpretato da Woody Allen nell'ultimo episodio del film Tutto quello che avreste voluto sapere sul sesso...";;;
Scarface;;;;;"(Letterina S) il soprannome di Al Capone";;;
Sheridan;;;;;"(Letterina S) il tenente interpretato da Ubaldo Lay";;;
Schweitzer;;;;;"(Letterina S) l'Albert che nel tempo libero suonava l'organo";;;
Squalo;;;;;"(Letterina S) l'animale allevato vicino alle basi aeronavali per tenere lontani gli uomini rana";;;
scarabeo;;;;;"(letterina S) l'animale venerato dagli egizi come simbolo del Sole";;;
Stagno;;;;;"(Letterina S) l'elemento principale del peltro";;;
Salgari;;;;;"(Letterina S) l'Emilio che scrisse mirabolanti avventure esotiche senza mai andare all'estero";;;
Scacchi;;;;;"(letterina S) l'incontro nel quale i contendenti hanno due cavalli ciascuno";;;
Spagnola;;;;;"(Letterina S) l'influenza che nel 1918 provoco' 20 milioni di morti";;;
Swann;;;;;"(Letterina S) la 'strada' con la quale inizia Alla ricerca del tempo perduto";;;
"Saint Moritz";;;;;"(Letterina S) la citta' svizzera che ha ospitato due volte le Olimpiadi invernali";;;
Surrealismo;;;;;"(Letterina S) la corrente artistica di Magritte";;;
Starnuto;;;;;"(Letterina S) la funzione corporale che provoca una velocita' di 600 km/h";;;
Sanscrito;;;;;"(Letterina S) la lingua dalla quale ha origine la parola 'yoga'";;;
Schneider;;;;;"(Letterina S) la Maria che ha ballato l'Ultimo tango con Marlon Brando";;;
Stuarda;;;;;"(letterina S) la Maria che ha ereditato il trono di Scozia all'eta' di sei giorni";;;
Spagnola;;;;;"(Letterina S) la nazionalita' degli abitanti dell'isola di Formentera";;;
Stilografica;;;;;"(Letterina S) la penna inventata da Lewis A. Waterman";;;
Sardegna;;;;;"(Letterina S) la regione dei 'quattro mori'";;;
Scintoismo;;;;;"(letterina S) la religione piu' diffusa in Giappone";;;
Serpentino;;;;;"(Letterina S) la roccia la cui massa verde e' striata di bianco";;;
Schneider;;;;;"(letterina S) la Romy che ha interpretato Sissi";;;
Simpson;;;;;"(Letterina S) la Wallis che Edoardo VIII chiamava 'la donna che amo'";;;
sherpa;;;;;"(letterina S) le guide di montagna nepalesi";;;
Superstar;;;;;"(Letterina S) lo diventa Gesu' Cristo in una nota commedia musicale";;;
Surf;;;;;"(Letterina S) lo sport che un tempo era riservato alle famiglie reali delle Hawaii";;;
Scherma;;;;;"(Letterina S) lo sport con spada, fioretto e sciabola";;;
Sismografo;;;;;"(letterina S) misura l'intensita' di una scossa tellurica";;;
Spinterogeno;;;;;"(Letterina S) nell'automobile, conduce l'alta tensione alle candele";;;
Sesterzi;;;;;"(Letterina S) quattro formavano un denaro";;;
Schubert;;;;;"(Letterina S) scrisse un quintetto ispirato alla trota";;;
Sangria;;;;;"(Letterina S) si ottiene mescolando vino e frutta fresca";;;
Testina;;;;;"(Letterina T) era 'd'oro' nel soprannome che accumunava i calciatori Puricelli e Carlo Galli";;;
Traiano;;;;;"(Letterina T) fu il primo imperatore romano non di origine romana";;;
"Tribuna politica";;;;;"(Letterina T) fu inaugurata da Mario Scelba in televisione l'11 ottobre 1960";;;
Trentanove;;;;;"(letterina T) gli scalini della scala di Hitchcock";;;
Trimmer;;;;;"(letterina T) il componente elettrico costituito da una resistenza variabile";;;
Truffaut;;;;;"(Letterina T) il Francois che ha avuto Incontri ravvicinati del terzo tipo";;;
Twain;;;;;"(Letterina T) il Mark che disse che smettere di fumare era facilissimo perche' lui smetteva tutti i giorni";;;
Turchia;;;;;"(letterina T) il paese in cui si trovano le rovine di Troia";;;
